Player,Team,Rnd,R,ACS,K:D,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,CL,KMax,K,D,A,FK,FD
rawfiul,ENGM,167,1.31,279,1.54,0.71,172.3,1.01,0.14,0.19,0.15,0.31,0.17,2/12,27,169,110,24,32,25
tesseract,ENGM,167,1.29,274.7,1.43,0.8,175.7,0.96,0.36,0.14,0.09,0.35,0.1,1/10,23,160,112,60,23,15
SkRossi,GES,319,1.26,301.6,1.47,0.75,182.5,1.08,0.09,0.25,0.1,0.22,0.14,5/37,39,345,235,30,80,32
Excali,ENGM,167,1.23,238.1,1.29,0.78,161.3,0.82,0.37,0.11,0.08,0.21,0.22,4/18,25,137,106,61,19,14
Harshhh,RGE,120,1.16,257,1.34,0.68,162.8,0.95,0.12,0.13,0.1,0.22,0.04,1/26,30,114,85,14,16,12
hellff,VLT,204,1.1,204.7,1.12,0.75,129.6,0.75,0.31,0.09,0.08,0.31,0.21,6/28,22,152,136,64,19,17
rite2ace,VLT,204,1.09,199.2,1.11,0.75,128.8,0.7,0.41,0.04,0.05,0.22,0.25,7/28,25,143,129,83,8,11
LilBOii,GA,40,1.06,260.5,1.06,0.63,165.9,0.9,0.15,0.13,0.15,0.35,0.5,1/2,19,36,34,6,5,6
vibhoRR,GR,167,1.06,210.8,0.95,0.68,136.2,0.69,0.31,0.08,0.07,0.22,0.15,3/20,23,115,121,51,13,12
DEATHMAKER,VLT,204,1.06,214.6,1.17,0.63,139.6,0.78,0.09,0.13,0.15,0.33,0.11,2/19,24,160,137,19,27,30
1TaPGoD,RNT,50,1.05,232,1.08,0.72,146.3,0.82,0.1,0.22,0.06,0.37,0,0/1,24,41,38,5,11,3
Lightningfast,GES,319,1.05,240.7,1.09,0.65,161.5,0.8,0.23,0.15,0.14,0.31,0.14,3/22,34,255,235,74,48,44
KnightRider,GR,167,1.04,224,1.11,0.64,137.2,0.81,0.13,0.17,0.15,0.25,0.15,2/13,24,136,123,21,28,25
Paradox,RNT,358,1.03,227.5,1.03,0.71,148.7,0.77,0.23,0.16,0.15,0.25,0.18,6/33,31,277,269,81,56,54
blackhawk,RNT,358,1.01,200.6,1,0.69,129.7,0.69,0.32,0.09,0.1,0.36,0.21,8/39,26,246,247,116,32,37
Logistaa,RNT,308,1.01,194.5,1.03,0.68,125.6,0.7,0.25,0.06,0.07,0.25,0.11,5/47,28,216,209,76,19,21
HellrangeR,GES,319,1.01,183.1,0.98,0.71,116.8,0.64,0.36,0.03,0.06,0.26,0.23,11/48,23,204,209,114,11,18
Amaterasu,VLT,204,0.98,194.7,0.94,0.73,129.2,0.66,0.46,0.07,0.06,0.26,0.18,5/28,20,134,143,93,14,13
Deadly10,VLT,204,0.98,218.9,0.95,0.73,141.9,0.72,0.24,0.17,0.15,0.27,0.08,1/12,22,147,154,48,35,30
psydreams,GR,167,0.97,211.3,0.96,0.68,143.9,0.73,0.23,0.14,0.15,0.22,0.05,1/19,26,122,127,38,23,25
RvK,ENGM,167,0.97,159.7,0.94,0.74,101.7,0.56,0.25,0.03,0.06,0.32,0.15,3/20,18,94,100,42,5,10
Antidote,ENGM,167,0.97,148.3,0.96,0.74,96.7,0.54,0.34,0.08,0.07,0.3,0.35,7/20,15,91,95,57,13,11
xavi8k,WS,81,0.97,237.8,1.03,0.63,160.5,0.78,0.14,0.15,0.17,0.22,0,0/11,21,63,61,11,12,14
Whimp,RNT,358,0.97,197.7,0.97,0.7,131.4,0.7,0.27,0.08,0.09,0.28,0.13,6/46,25,249,256,97,29,32
BADlove,RNT,358,0.97,185.3,0.93,0.65,124.8,0.65,0.18,0.08,0.09,0.32,0.22,9/41,23,233,250,63,30,34
KappA,GES,319,0.97,184.2,1.02,0.71,128.5,0.66,0.22,0.05,0.1,0.31,0.18,8/45,26,212,208,70,17,33
Pixelzz,RGE,120,0.92,177.5,0.85,0.69,115.7,0.62,0.25,0.06,0.09,0.26,0.14,2/14,20,74,87,30,7,11
fishball,RGE,120,0.91,212.2,0.93,0.64,134.7,0.7,0.13,0.18,0.16,0.2,0.4,2/5,22,84,90,15,21,19
grav1ty,GA,40,0.9,189,1.03,0.78,120,0.75,0.13,0.08,0.08,0.24,0.18,2/11,18,30,29,5,3,3
Rio,RGE,120,0.9,179,0.88,0.72,110.1,0.63,0.3,0.06,0.07,0.23,0.05,1/20,20,75,85,36,7,8
Ember,GR,167,0.87,171.4,0.95,0.71,113.4,0.66,0.23,0.05,0.08,0.28,0.08,2/25,23,110,116,39,8,13
r1seN,GA,40,0.86,207.5,0.97,0.65,134.8,0.75,0.18,0.08,0.2,0.4,0.2,1/5,19,30,31,7,3,8
Hoax,GR,167,0.86,166.4,0.74,0.67,112.6,0.56,0.35,0.05,0.07,0.17,0.21,4/19,17,93,126,59,9,11
sens3i,LE,84,0.85,196.5,0.87,0.55,128.5,0.69,0.08,0.15,0.17,0.23,0,0/8,20,58,67,7,13,14
skillZ,GES,319,0.85,162.9,0.79,0.69,110.2,0.56,0.35,0.04,0.08,0.31,0.23,6/26,19,179,226,113,12,24
Marzil,LE,84,0.84,205.8,0.86,0.64,143.6,0.7,0.24,0.11,0.12,0.32,0.15,2/13,19,59,69,20,9,10
Rossi,LE,84,0.8,214,0.79,0.61,139.6,0.68,0.14,0.11,0.1,0.27,0,0/12,17,57,72,12,9,8
sh1vy,LE,84,0.79,157.5,0.73,0.69,104.5,0.54,0.3,0.06,0.08,0.23,0.15,2/13,14,45,62,25,5,7
zeeq,RGE,120,0.79,142.5,0.67,0.72,99.7,0.48,0.37,0.06,0.1,0.36,0.1,1/10,16,58,86,44,7,12
Kibo,GA,40,0.79,194,0.78,0.8,123.6,0.63,0.4,0.08,0.05,0.33,0.14,1/7,13,25,32,16,3,2
LuciA,LE,84,0.78,153,0.75,0.64,99.7,0.61,0.17,0.06,0.05,0.16,0.17,2/12,19,51,68,14,5,4
Busterrr,WS,81,0.75,164.5,0.71,0.65,113.5,0.57,0.28,0.05,0.09,0.28,0,0/5,16,46,65,23,4,7
astr0,WS,81,0.74,186.3,0.79,0.58,130,0.64,0.22,0.09,0.07,0.35,0.06,1/16,23,52,66,18,7,6
Rexy,WS,81,0.62,114.8,0.55,0.56,83.9,0.42,0.2,0.05,0.11,0.31,0.13,2/16,15,34,62,16,4,9
Equinox,WS,81,0.59,122.3,0.57,0.57,90,0.44,0.09,0.07,0.15,0.37,0.11,1/9,15,36,63,7,6,12
khelthuzad,GA,40,0.54,150.5,0.54,0.6,96.7,0.48,0.2,0.08,0.1,0.16,0,0/6,10,19,35,8,3,4
